Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering
06:18:49,2026-01-02,ACC-S00782,ACC-R00892,1678.27,CAD,CAD,Germany,Switzerland,Wire,0
06:21:26,2026-01-02,ACC-S00030,ACC-R01519,1922.66,AUD,AUD,Canada,United Kingdom,Cheque,0
06:22:19,2026-01-02,ACC-S00620,ACC-R00443,1091.23,USD,USD,Singapore,Switzerland,Credit Card,0
06:29:48,2026-01-02,ACC-S01902,ACC-R00411,1047.68,JPY,JPY,Switzerland,Brazil,Debit Card,0
06:31:56,2026-01-02,ACC-S00998,ACC-R00166,246.65,USD,USD,France,United States,ACH,0
06:33:13,2026-01-02,ACC-S00358,ACC-R01251,638.33,JPY,JPY,United States,United States,Cheque,0
06:33:17,2026-01-02,ACC-S00301,ACC-R00115,595.07,AUD,AUD,Switzerland,Germany,Credit Card,0
06:36:43,2026-01-02,ACC-S00804,ACC-R00147,271.4,EUR,EUR,Australia,Switzerland,Debit Card,0
06:39:17,2026-01-02,ACC-S00725,ACC-R00448,1093.19,JPY,JPY,Brazil,Brazil,Credit Card,0
06:43:47,2026-01-02,ACC-S01288,ACC-R01142,135.53,EUR,EUR,Switzerland,France,ACH,0
06:45:18,2026-01-02,ACC-S01307,ACC-R01037,86.59,USD,USD,United States,Japan,Cash Transfer,0
06:48:18,2026-01-02,ACC-S01318,ACC-R00576,178.51,EUR,EUR,India,France,Wire,0
06:48:50,2026-01-02,ACC-S00667,ACC-R00741,453.35,AUD,AUD,Switzerland,Brazil,Credit Card,0
06:50:41,2026-01-02,ACC-S01090,ACC-R01657,710.32,USD,USD,Singapore,Canada,Debit Card,0
06:55:31,2026-01-02,ACC-S00989,ACC-R01854,666.67,GBP,JPY,United Kingdom,Switzerland,Wire,0
06:56:19,2026-01-02,ACC-S01746,ACC-R00805,1357.26,JPY,JPY,Australia,France,Debit Card,0
06:57:15,2026-01-02,ACC-S00081,ACC-R01982,1573.7,GBP,GBP,United Kingdom,Japan,Cash Transfer,0
07:01:52,2026-01-02,ACC-S00474,ACC-R01089,127.5,AUD,AUD,Japan,Japan,Wire,0
07:02:42,2026-01-02,ACC-S00205,ACC-R00584,353.06,GBP,GBP,Canada,Brazil,ACH,0
07:03:50,2026-01-02,ACC-S01166,ACC-R01262,1641.62,GBP,GBP,Singapore,United States,Wire,0
07:04:30,2026-01-02,ACC-S00377,ACC-R00453,2987.93,USD,USD,Canada,Brazil,Credit Card,0
07:07:59,2026-01-02,ACC-S00839,ACC-R00220,358.65,EUR,EUR,Brazil,Canada,Cheque,0
07:09:06,2026-01-02,ACC-S00575,ACC-R01759,504.45,GBP,GBP,Germany,Germany,Cheque,0
07:16:10,2026-01-02,ACC-S01864,ACC-R00390,384.4,EUR,EUR,India,Singapore,Cash Transfer,0
07:18:50,2026-01-02,ACC-S01916,ACC-R01134,962.45,EUR,EUR,United States,India,Wire,0
07:21:07,2026-01-02,ACC-S00052,ACC-R00367,672.81,CAD,CAD,United Kingdom,Singapore,Cheque,0
07:22:02,2026-01-02,ACC-S00790,ACC-R00271,542.6,AUD,AUD,Japan,United Kingdom,ACH,0
07:22:40,2026-01-02,ACC-S01637,ACC-R01261,316.0,CAD,CAD,United Kingdom,France,ACH,0
07:22:57,2026-01-02,ACC-S01788,ACC-R00544,306.23,EUR,EUR,Brazil,France,Wire,0
07:27:12,2026-01-02,ACC-S01444,ACC-R00138,126.6,EUR,EUR,India,Switzerland,Cash Transfer,0
07:28:14,2026-01-02,ACC-S01922,ACC-R01058,438.71,JPY,JPY,Brazil,India,Wire,0
07:28:44,2026-01-02,ACC-S01065,ACC-R00015,1249.08,JPY,JPY,United States,Japan,Cash Transfer,0
07:29:16,2026-01-02,ACC-S01261,ACC-R01184,1152.99,JPY,JPY,Brazil,Singapore,Wire,0
07:31:42,2026-01-02,ACC-S00757,ACC-R00480,1009.87,AUD,GBP,Canada,United States,Cash Transfer,0
07:32:55,2026-01-02,ACC-S00050,ACC-R00953,372.78,AUD,CAD,United Kingdom,India,ACH,0
07:34:57,2026-01-02,ACC-S00647,ACC-R01138,1036.66,AUD,AUD,Japan,Switzerland,ACH,0
07:35:21,2026-01-02,ACC-S01579,ACC-R00193,1694.03,CAD,CAD,Brazil,Switzerland,Cash Transfer,0
07:38:52,2026-01-02,ACC-S01122,ACC-R01940,111.28,JPY,JPY,France,United Kingdom,Credit Card,0
07:40:23,2026-01-02,ACC-S00647,ACC-R01412,1207.63,CAD,CAD,Japan,United States,ACH,0
07:40:37,2026-01-02,ACC-S00902,ACC-R01487,396.71,AUD,AUD,United Kingdom,India,Wire,0
07:44:46,2026-01-02,ACC-S01192,ACC-R01186,809.45,USD,USD,Germany,Japan,Cheque,0
07:48:29,2026-01-02,ACC-S00471,ACC-R00915,358.44,AUD,AUD,United States,Germany,ACH,0
07:52:49,2026-01-02,ACC-S00178,ACC-R00844,1286.82,AUD,AUD,Singapore,Switzerland,Debit Card,0
07:54:59,2026-01-02,ACC-S00189,ACC-R01169,338.6,JPY,JPY,Singapore,Japan,Cheque,0
07:55:45,2026-01-02,ACC-S00407,ACC-R00739,361.33,USD,USD,India,United States,Cash Transfer,0
07:59:12,2026-01-02,ACC-S01243,ACC-R00966,1129.13,CAD,CAD,Canada,Singapore,Wire,0
08:01:53,2026-01-02,ACC-S01510,ACC-R01323,952.55,GBP,GBP,Switzerland,Japan,Debit Card,0
08:04:43,2026-01-02,ACC-S01824,ACC-R00619,372.08,EUR,EUR,Singapore,United States,Credit Card,0
08:05:51,2026-01-02,ACC-S00508,ACC-R00671,1993.26,AUD,AUD,United States,Japan,Cheque,0
08:12:47,2026-01-02,ACC-S01669,ACC-R00061,2129.64,EUR,EUR,Japan,Switzerland,Credit Card,0
08:15:16,2026-01-02,ACC-S01674,ACC-R00890,145.35,JPY,JPY,Germany,Japan,ACH,0
08:19:18,2026-01-02,ACC-S01171,ACC-R00269,553.79,USD,USD,France,Brazil,Cash Transfer,0
08:21:02,2026-01-02,ACC-S01342,ACC-R01908,1048.18,EUR,EUR,Singapore,Japan,Credit Card,0
08:21:19,2026-01-02,ACC-S01792,ACC-R00089,187.79,CAD,CAD,Brazil,Switzerland,Debit Card,0
08:23:11,2026-01-02,ACC-S01470,ACC-R01674,701.7,CAD,CAD,Canada,United Kingdom,Cash Transfer,0
08:24:59,2026-01-02,ACC-S01777,ACC-R01810,1347.84,CAD,CAD,India,India,Debit Card,0
08:26:05,2026-01-02,ACC-S01228,ACC-R01046,965.34,AUD,AUD,India,Switzerland,Cash Transfer,0
08:26:08,2026-01-02,ACC-S01402,ACC-R01320,489.96,EUR,EUR,Germany,Singapore,Debit Card,0
08:27:12,2026-01-02,ACC-S01162,ACC-R01255,136.12,EUR,EUR,Switzerland,France,Cheque,0
08:28:59,2026-01-02,ACC-S00543,ACC-R00752,184.66,GBP,GBP,Switzerland,Brazil,Wire,0
08:32:33,2026-01-02,ACC-S00343,ACC-R00377,558.79,JPY,JPY,Australia,United States,Wire,0
08:46:14,2026-01-02,ACC-S00154,ACC-R01539,183.62,GBP,USD,Canada,Singapore,Credit Card,0
08:50:08,2026-01-02,ACC-S00966,ACC-R01858,511.4,JPY,JPY,Switzerland,Brazil,ACH,0
08:52:18,2026-01-02,ACC-S00331,ACC-R01326,429.44,USD,USD,Brazil,Japan,ACH,0
08:54:35,2026-01-02,ACC-S00163,ACC-R01232,1219.25,AUD,AUD,United Kingdom,Brazil,ACH,0
08:55:42,2026-01-02,ACC-S00161,ACC-R01072,687.69,CAD,CAD,Germany,Brazil,ACH,0
09:03:01,2026-01-02,ACC-S00196,ACC-R00887,1268.7,CAD,CAD,Switzerland,India,Cash Transfer,0
09:03:20,2026-01-02,ACC-S01222,ACC-R00318,1434.0,EUR,EUR,Germany,Australia,ACH,0
09:07:21,2026-01-02,ACC-S01609,ACC-R00330,284.98,EUR,EUR,India,Canada,Cash Transfer,0
09:09:35,2026-01-02,ACC-S01339,ACC-R01840,1679.21,CAD,EUR,United States,United Kingdom,Cheque,0
09:13:22,2026-01-02,ACC-S01920,ACC-R01126,1555.45,CAD,CAD,Singapore,Switzerland,ACH,0
09:14:23,2026-01-02,ACC-S00759,ACC-R01146,2362.72,GBP,GBP,Brazil,Switzerland,Debit Card,0
09:15:30,2026-01-02,ACC-S01415,ACC-R00335,882.99,CAD,CAD,United States,United States,Wire,0
09:22:09,2026-01-02,ACC-S01576,ACC-R00875,1780.21,EUR,EUR,Canada,India,Credit Card,0
09:22:54,2026-01-02,ACC-S01027,ACC-R00565,191.97,CAD,CAD,Australia,United States,Cash Transfer,0
09:25:02,2026-01-02,ACC-S00434,ACC-R00418,968.58,AUD,AUD,Canada,Switzerland,Cheque,0
09:27:33,2026-01-02,ACC-S00905,ACC-R00631,277.86,EUR,EUR,India,Australia,Debit Card,0
09:27:59,2026-01-02,ACC-S01840,ACC-R01617,2418.11,EUR,EUR,Brazil,Canada,Wire,0
09:28:52,2026-01-02,ACC-S00649,ACC-R01177,801.2,GBP,GBP,Switzerland,Germany,Debit Card,0
09:30:42,2026-01-02,ACC-S01350,ACC-R00915,2129.75,JPY,JPY,Australia,Australia,Wire,0
09:33:20,2026-01-02,ACC-S01074,ACC-R01567,527.99,AUD,AUD,Japan,United Kingdom,ACH,0
09:44:18,2026-01-02,ACC-S00643,ACC-R00649,399.54,AUD,AUD,Germany,India,Credit Card,0
09:50:32,2026-01-02,ACC-S01336,ACC-R01758,162.27,GBP,GBP,Japan,Canada,Credit Card,0
09:53:53,2026-01-02,ACC-S01281,ACC-R00491,276.9,GBP,GBP,Japan,Switzerland,Cheque,0
09:55:37,2026-01-02,ACC-S01583,ACC-R00904,155.52,EUR,EUR,Germany,India,ACH,0
09:57:27,2026-01-02,ACC-S01442,ACC-R01984,1108.72,JPY,JPY,Canada,Switzerland,Cash Transfer,0
09:58:07,2026-01-02,ACC-S01683,ACC-R01832,763.91,EUR,EUR,Australia,India,Cash Transfer,0
10:03:08,2026-01-02,ACC-S00890,ACC-R00665,213.5,AUD,AUD,Singapore,United States,Wire,0
10:04:24,2026-01-02,ACC-S01610,ACC-R00454,903.6,GBP,GBP,Canada,India,Debit Card,0
10:10:54,2026-01-02,ACC-S00308,ACC-R01409,134.84,AUD,EUR,United States,France,Debit Card,0
10:13:47,2026-01-02,ACC-S00570,ACC-R00517,754.42,GBP,GBP,France,Germany,Cheque,0
10:16:17,2026-01-02,ACC-S01096,ACC-R00046,104.27,GBP,GBP,Switzerland,Germany,ACH,0
10:16:29,2026-01-02,ACC-S01147,ACC-R01681,2050.48,USD,USD,United States,Australia,ACH,0
10:18:48,2026-01-02,ACC-S00522,ACC-R00978,474.32,AUD,AUD,United Kingdom,France,ACH,0
10:19:12,2026-01-02,ACC-S01986,ACC-R01155,1371.83,USD,USD,Australia,India,ACH,0
10:20:26,2026-01-02,ACC-S00090,ACC-R00524,826.21,EUR,EUR,Canada,Germany,ACH,0
10:24:47,2026-01-02,ACC-S00414,ACC-R01742,402.19,EUR,EUR,India,India,Cheque,0
10:26:00,2026-01-02,ACC-S00430,ACC-R00658,1112.43,GBP,GBP,Germany,France,Wire,0
10:26:26,2026-01-02,ACC-S00001,ACC-R01072,647.2,CAD,CAD,India,Germany,Credit Card,0
10:27:22,2026-01-02,ACC-S00180,ACC-R00991,1430.9,CAD,CAD,United Kingdom,Brazil,Cash Transfer,0
10:27:35,2026-01-02,ACC-S00020,ACC-R01436,1296.56,USD,USD,Brazil,Canada,Wire,0
10:28:21,2026-01-02,ACC-S01150,ACC-R00797,1389.8,JPY,JPY,India,France,Cheque,0
10:34:34,2026-01-02,ACC-S00369,ACC-R01810,861.84,EUR,EUR,Australia,Brazil,Wire,0
10:35:41,2026-01-02,ACC-S00458,ACC-R01826,432.21,EUR,EUR,Canada,Brazil,Cash Transfer,0
10:36:49,2026-01-02,ACC-S00910,ACC-R01511,348.57,EUR,EUR,Canada,India,ACH,0
10:37:20,2026-01-02,ACC-S00347,ACC-R01174,441.23,JPY,JPY,Australia,United States,Cash Transfer,0
10:41:19,2026-01-02,ACC-S01359,ACC-R00680,354.33,EUR,AUD,Singapore,Australia,Credit Card,0
10:43:48,2026-01-02,ACC-S00994,ACC-R01448,1338.46,AUD,AUD,Brazil,Singapore,Cheque,0
10:44:23,2026-01-02,ACC-S00451,ACC-R00280,1359.01,JPY,JPY,Japan,Japan,Cheque,0
10:44:47,2026-01-02,ACC-S00351,ACC-R01558,924.77,AUD,AUD,Germany,Australia,Wire,0
10:53:55,2026-01-02,ACC-S00848,ACC-R01901,1160.53,AUD,AUD,Australia,United States,Cheque,0
10:54:30,2026-01-02,ACC-S01409,ACC-R01889,132.54,USD,USD,Canada,Singapore,Debit Card,0
11:02:40,2026-01-02,ACC-S01568,ACC-R00653,166.79,CAD,CAD,Switzerland,Japan,Debit Card,0
11:05:53,2026-01-02,ACC-S00706,ACC-R01217,1016.07,EUR,AUD,Japan,India,ACH,0
11:05:55,2026-01-02,ACC-S01327,ACC-R00186,633.37,EUR,EUR,Australia,United States,Debit Card,0
11:11:23,2026-01-02,ACC-S00030,ACC-R00353,1737.22,USD,USD,Canada,India,ACH,0
11:12:47,2026-01-02,BAD-STR004,REC-STR004,9340.86,JPY,JPY,United States,Canada,Wire,1
11:12:54,2026-01-02,ACC-S00200,ACC-R01684,578.23,CAD,CAD,Brazil,Singapore,Wire,0
11:20:12,2026-01-02,ACC-S01176,ACC-R00502,236.75,AUD,AUD,United Kingdom,Germany,ACH,0
11:23:00,2026-01-02,ACC-S01898,ACC-R00782,660.38,AUD,AUD,United States,Japan,Debit Card,0
11:27:02,2026-01-02,ACC-S00384,ACC-R01219,216.57,JPY,JPY,Canada,United Kingdom,Credit Card,0
11:29:37,2026-01-02,ACC-S00025,ACC-R00592,992.83,AUD,AUD,Switzerland,Singapore,Debit Card,0
11:32:22,2026-01-02,ACC-S01152,ACC-R01449,324.06,GBP,GBP,United Kingdom,United States,Cash Transfer,0
11:33:48,2026-01-02,ACC-S01142,ACC-R01092,200.47,EUR,EUR,United Kingdom,United Kingdom,Wire,0
11:34:57,2026-01-02,ACC-S01439,ACC-R01209,501.98,JPY,JPY,United States,Japan,Cash Transfer,0
11:39:44,2026-01-02,ACC-S00090,ACC-R00608,1181.37,AUD,AUD,Canada,India,Wire,0
